timestamps,load
1,0.25
2,0.22
3,0.2
4,0.21
5,0.19
6,0.18
7,0.18
8,0.18
9,0.18
10,0.18
11,0.175
12,0.18
13,0.18
14,0.19
15,0.2
16,0.19
17,0.18
18,0.19
19,0.2
20,0.22
21,0.25
22,0.23
23,0.26
24,0.3
25,0.4
26,0.48
27,0.53
28,0.58
29,0.6
30,0.63
31,0.61
32,0.6
33,0.63
34,0.64
35,0.69
36,0.63
37,0.62
38,0.61
39,0.65
40,0.65
41,0.67
42,0.65
43,0.6
44,0.63
45,0.6
46,0.62
47,0.66
48,0.7
49,0.73
50,0.74
51,0.71
52,0.71
53,0.71
54,0.65
55,0.6
56,0.57
57,0.56
58,0.56
59,0.48
60,0.48
61,0.49
62,0.47
63,0.46
64,0.45
65,0.45
66,0.5
67,0.53
68,0.58
69,0.63
70,0.7
71,0.75
72,0.78
73,0.8
74,0.85
75,0.85
76,0.9
77,0.92
78,0.89
79,0.87
80,0.83
81,0.8
82,0.78
83,0.75
84,0.7
85,0.67
86,0.73
87,0.67
88,0.63
89,0.55
90,0.5
91,0.45
92,0.4
93,0.38
94,0.35
95,0.3
96,0.27
